,ASU,KU Leuven,Mondragon,NTUT,Paderborn,PoliTO,Sydney,Tribhuvan,Tsinghua,TUDelft,UTK,XJTU,gmean,std
0,19468.76872671368,9589.427734375,17421.7909100546,27887.411287982904,16656.904296875,17021.334756868,15540.2509765625,10467.55078125,17431.97042994482,16045.21987686458,26255.951171875,16760.431640625,16825.863358323502,0.30153862589844066
1,41549.602552896285,21936.03125,38815.7437929709,65966.25558792774,38826.27734375,37906.14045818707,33602.625,90248.171875,36256.35829829677,36719.15936089648,56966.0625,38252.08203125,42010.142086149724,0.4053730248736945
2,24162.091759131406,9589.427734375,21457.7618275836,34740.37661663263,22144.205078125,21223.802700689277,22482.853515625,12376.0087890625,21495.642640797036,22553.32099286233,33787.96875,21176.2421875,21110.70729748226,0.3187662252223144
3,50614.89844676094,27389.1875,46724.1832895059,78417.01719836541,48642.7578125,45964.64728333604,54162.90625,111205.296875,44585.88681366161,48571.4391615855,70541.890625,48114.125,53102.475220009685,0.38284652747742837
4,30977.7699197708,9589.427734375,26874.233050327,40842.15399607141,27846.291015625,26673.74490151529,33621.1328125,16463.4296875,26790.176955511924,28254.285794513005,39587.66015625,26328.611328125,26223.657995076126,0.31009434283554294
5,66929.04217106312,46627.69921875,59718.3019042303,90486.1211687389,61527.6953125,58772.19955625319,71858.0703125,54708.38671875,54991.713120898086,61090.35393784388,87078.890625,61153.88671875,63488.33084122143,0.20016960886865018
6,290828.9057495871,258888.40625,259490.833940923,382407.6307428973,267601.28125,258413.061317632,281995.9375,261002.9375,287263.82473189774,269356.65033129416,418043.5625,273430.96875,288777.9041637747,0.17824107350271395
7,19450.500759485785,9589.427734375,15626.7836306716,25699.43324042869,15488.6884765625,15949.737412741835,17695.60546875,13064.0029296875,16275.990811482347,16008.935043703324,27944.755859375,15548.5244140625,16740.19412449594,0.2904276356216577
8,41397.630718657616,9589.427734375,34482.4459085577,50221.53097152391,34953.6015625,34031.60923509668,43742.06640625,22265.78125,32226.172379880845,36786.0310569,50235.015625,34182.4453125,32922.21882923473,0.3192439216065611
9,86807.22980532322,75734.8984375,76414.6661887521,110652.1491836079,77155.8671875,74704.42088139846,88858.1015625,68606.1328125,67453.78961948084,79377.52861179283,115056.7421875,77839.28125,82091.50425628266,0.18216968329578234
10,172967.94893476393,146325.8125,149568.446957879,223336.93704744373,150100.5625,147346.66899453814,155975.25,159580.609375,155546.67825171928,157739.0513206122,232987.390625,151404.8125,164851.58844245982,0.17702976092665534
